ct,dose
18.0,7.675
6.0,7.686
8.0,7.86
1017.0,7.805
1007.0,7.688
1019.0,7.797
190.0,7.855
1022.0,7.999
986.0,8.362
975.0,8.135
1023.0,7.889
683.0,13.199
1017.0,14.051
1026.0,13.555
1035.0,12.901
1040.0,13.306
1046.0,14.62
1006.0,7.743
998.0,7.906
1019.0,8.204
1019.0,9.192
1014.0,11.421
672.0,13.231
88.0,13.255
1.0,12.496
9.0,12.335
916.0,13.173
334.0,14.353
2.0,10.403
993.0,13.967
970.0,17.868
436.0,18.961
261.0,17.049
464.0,7.866
851.0,7.768
810.0,7.736
698.0,8.673
982.0,10.927
1002.0,13.06
1011.0,13.387
759.0,12.347
209.0,11.914
6.0,12.512
2.0,13.502
11.0,14.411
2.0,9.18
1006.0,12.473
1031.0,16.573
497.0,17.679
833.0,16.039
923.0,13.855
25.0,8.028
395.0,8.029
208.0,7.945
9.0,8.943
991.0,11.324
989.0,13.4
956.0,13.402
144.0,12.454
541.0,11.856
403.0,11.787
322.0,11.99
320.0,12.36
355.0,8.425
26.0,11.122
963.0,14.495
1009.0,15.256
1015.0,13.945
1020.0,12.486
904.0,8.156
295.0,8.294
42.0,11.356
98.0,13.403
241.0,13.488
106.0,12.442
74.0,11.733
1.0,11.346
12.0,11.295
5.0,10.339
10.0,13.033
2.0,13.707
1.0,12.526
342.0,11.569
75.0,8.316
11.0,12.769
9.0,13.383
6.0,8.557
6.0,8.35
8.0,15.644
5.0,15.976
2.0,17.451
2.0,19.859
1014.0,8.327
933.0,8.302
429.0,11.039
44.0,14.085
25.0,15.832
89.0,16.184
523.0,15.783
243.0,16.51
38.0,18.285
132.0,20.134
172.0,21.643
169.0,18.431
44.0,22.102
11.0,22.671
7.0,20.837
15.0,18.932
51.0,8.059
45.0,8.125
11.0,10.501
19.0,13.165
19.0,14.782
1002.0,15.684
892.0,15.311
89.0,15.146
52.0,16.014
32.0,17.764
49.0,19.497
35.0,21.045
496.0,10.998
737.0,13.568
624.0,17.941
101.0,22.265
368.0,22.907
688.0,20.779
492.0,18.451
121.0,16.154
15.0,7.962
16.0,8.058
538.0,8.098
435.0,8.56
501.0,10.184
477.0,12.709
88.0,14.768
99.0,14.5
20.0,13.918
7.0,14.043
1013.0,15.414
801.0,17.176
947.0,18.612
80.0,19.057
97.0,10.762
30.0,10.681
387.0,12.872
629.0,17.356
599.0,21.76
