,data
515879,10.353
515880,10.247
516006,10.488
516007,10.468
516008,10.475
516009,10.367
516110,0.082
516134,10.354
516135,10.502
516136,10.516
516137,10.28
516263,10.192
516264,10.22
516265,10.287
516390,9.939
516391,9.877
516392,9.984
516393,10.131
516519,9.841
516520,9.766
516521,9.838
532007,10.071
532008,10.822
532009,11.907
532010,12.958
532133,9.918
532134,10.088
532135,10.415
532136,10.847
532137,11.306
532138,11.874
532139,12.504
532260,9.977
532261,10.222
532262,10.548
532263,10.799
532264,11.157
532265,11.295
532266,11.301
532267,11.552
532363,0.008
532364,0.018
532365,0.023
532366,0.171
532367,0.387
532388,10.196
532389,10.662
532390,10.95
532391,11.215
532392,11.314
532393,11.193
532394,11.045
532395,11.197
532396,11.353
532491,0.006
532492,0.017
532493,0.041
532494,0.112
532495,0.278
532496,0.657
532497,1.177
532515,9.781
532516,10.055
532517,10.547
532518,10.858
532519,11.089
532520,11.048
532521,11.054
532522,11.043
532523,10.813
532619,0.024
532620,0.023
532621,0.007
532622,0.125
532623,0.342
532624,0.787
532625,1.342
532643,9.594
532644,10.014
532645,10.344
532646,10.66
532647,10.702
532648,10.947
532649,10.984
532650,10.754
532651,10.574
532652,10.999
532747,0.014
532748,0.016
532749,0.039
532750,0.165
532751,0.427
532752,0.953
532772,9.956
532773,10.219
532774,10.562
532775,10.65
532776,10.725
532777,10.69
532778,10.62
532779,10.519
532780,10.897
532900,9.931
532901,10.146
532902,10.203
532903,10.307
532904,10.401
532905,10.196
532906,10.29
532907,10.277
533029,10.184
533030,10.314
533031,10.158
533032,10.044
533033,9.95
533034,9.707
533035,9.849
548262,10.018
548263,10.779
548264,12.309
548265,14.708
548266,16.917
548267,18.871
548381,7.194
548388,9.578
548389,9.903
548390,10.266
548391,10.827
548392,12.188
548393,13.911
548394,16.019
548395,17.749
548396,19.475
548507,6.642
548508,7.298
548509,8.0
548510,8.459
548515,9.602
548516,9.979
548517,10.449
548518,10.661
548519,11.386
548520,12.251
548521,13.591
548522,15.152
548523,16.397
548524,17.757
548525,19.139
548620,0.014
548621,0.083
548622,0.247
548623,0.688
548635,7.027
548636,7.7
548637,8.227
548638,8.53
548642,9.421
548643,9.985
548644,10.467
548645,10.785
548646,11.201
548647,11.609
548648,12.129
548649,12.936
548650,13.922
548651,14.582
548652,15.342
548653,16.566
548746,0.019
548747,0.012
548748,0.027
548749,0.068
548750,0.175
548751,0.452
548763,7.18
548764,7.9
548765,8.394
548770,9.644
548771,10.169
548772,10.655
548773,11.263
548774,11.476
548775,11.822
548776,12.137
548777,12.459
548778,12.766
548779,13.195
548780,13.587
548781,14.657
548874,0.008
548875,0.003
548876,0.011
548877,0.035
548878,0.122
548879,0.408
548881,1.48
548882,2.25
548889,5.457
548890,6.271
548891,7.239
548892,7.921
548893,8.433
548897,9.37
548898,9.71
548899,10.265
548900,10.717
548901,11.225
548902,11.478
548903,11.791
548904,11.892
548905,12.111
548906,12.184
548907,12.118
548908,12.463
548909,13.518
549002,0.006
549003,0.003
549004,0.008
549005,0.014
549006,0.11
549007,0.333
549008,0.778
549009,1.463
549010,2.156
549019,7.123
549020,7.943
549021,8.507
549025,9.539
549026,9.818
549027,10.221
549028,10.717
549029,10.93
549030,11.347
549031,11.611
549032,11.769
549033,11.776
549034,11.524
549035,11.552
549036,11.861
549130,0.007
549131,0.015
549132,0.01
549133,0.046
549134,0.139
549135,0.373
549147,6.431
549148,7.502
549149,8.301
549150,8.777
549154,9.754
549155,10.23
549156,10.476
549157,10.862
549158,11.223
549159,11.402
549160,11.604
549161,11.525
549162,11.344
549163,11.252
549164,11.516
549260,0.002
549261,0.018
549262,0.152
549263,0.421
549276,6.763
549277,7.655
549283,10.219
549284,10.445
549285,10.725
549286,11.056
549287,11.188
549288,11.173
549289,11.07
549290,10.916
549291,10.809
549292,11.028
549412,10.607
549413,10.648
549414,10.971
549415,10.855
549416,10.737
549417,10.37
549418,10.09
549419,9.943
549541,10.75
549542,10.797
549543,10.644
549544,10.401
549545,10.117
549546,10.026
549547,9.821
549672,10.669
549673,10.763
564391,10.457
564392,12.687
564393,15.71
564394,18.104
564517,9.835
564518,10.398
564519,11.375
564520,13.376
564521,16.349
564522,18.759
564523,20.918
564637,7.251
564638,8.016
564639,8.753
564640,9.02
564642,9.329
564643,9.54
564644,9.841
564645,10.22
564646,10.837
564647,11.677
564648,13.388
564649,16.255
564650,18.779
564651,21.019
564652,23.41
564653,25.887
564750,0.256
564761,5.44
564762,6.177
564763,6.827
564764,7.316
564765,7.856
564766,8.462
564767,8.892
564768,9.127
564769,9.252
564770,9.473
564771,9.778
564772,10.125
564773,10.473
564774,10.821
564775,11.76
564776,13.241
564777,15.685
564778,18.219
564779,20.533
564780,22.552
564781,24.957
564782,26.363
564877,0.052
564878,0.253
564879,0.701
564889,5.814
564890,6.715
564891,7.45
564892,8.005
564893,8.546
564894,8.923
564895,9.238
564896,9.501
564897,9.628
564898,9.959
564899,10.19
564900,10.567
564901,10.922
564902,11.293
564903,11.994
564904,13.246
564905,15.382
564906,17.821
564907,20.04
564908,21.827
564909,23.549
564910,24.818
565003,0.02
565004,0.019
565005,0.068
565006,0.22
565007,0.692
565016,5.012
565017,6.104
565018,7.034
565019,7.763
565020,8.422
565021,8.715
565022,9.077
565023,9.357
565024,9.548
565025,9.77
565026,9.937
565027,10.429
565028,10.819
565029,11.084
565030,11.472
565031,11.976
565032,13.227
