,data
483338,1033.0
483463,1026.0
483464,998.0
483465,1018.0
483466,1038.0
483467,1028.0
483468,1009.0
483469,999.0
483589,954.0
483591,979.0
483592,982.0
483593,985.0
483594,1018.0
483595,1020.0
483596,1022.0
483597,1007.0
483720,972.0
483721,997.0
483722,1000.0
499594,1003.0
499717,997.0
499718,997.0
499719,989.0
499720,1014.0
499721,972.0
499722,851.0
499723,845.0
499724,970.0
499725,1025.0
499726,1019.0
499840,955.0
499841,984.0
499842,984.0
499843,976.0
499844,996.0
499845,1023.0
499846,1028.0
499847,1028.0
499848,951.0
499849,825.0
499850,912.0
499851,1026.0
499852,1042.0
499853,999.0
499854,975.0
499855,1005.0
499968,1003.0
499969,1004.0
499970,997.0
499971,994.0
499972,1012.0
499973,1019.0
499974,1027.0
499975,1039.0
499976,1031.0
499977,1033.0
499978,1022.0
499979,978.0
499980,953.0
499981,1001.0
499982,1025.0
499983,989.0
500099,1011.0
500100,1005.0
500101,1004.0
500102,1002.0
500103,1029.0
500104,1036.0
500105,1013.0
500106,963.0
500107,1013.0
500108,1039.0
500109,1013.0
500231,1009.0
500232,942.0
500233,958.0
515975,1021.0
515976,1026.0
515977,1043.0
515978,1032.0
515979,1012.0
515980,775.0
515981,89.0
515982,75.0
516096,800.0
516097,953.0
516098,1004.0
516099,1003.0
516100,974.0
516101,987.0
516102,940.0
516103,547.0
516104,173.0
516105,145.0
516106,154.0
516107,108.0
516108,84.0
516109,58.0
516110,103.0
516111,267.0
516224,1013.0
516225,997.0
516226,985.0
516227,1009.0
516228,1033.0
516229,1029.0
516230,735.0
516231,155.0
516232,62.0
516233,103.0
516234,333.0
516235,660.0
516236,937.0
516237,1019.0
516238,1028.0
516239,1022.0
516240,1007.0
516352,1044.0
516353,1046.0
516354,1058.0
516355,1051.0
516356,1051.0
516357,1037.0
516358,1036.0
516359,1035.0
516360,1026.0
516361,1033.0
516362,1037.0
516363,1040.0
516364,1060.0
516365,1050.0
516366,1030.0
516367,1014.0
516368,1023.0
516480,995.0
516481,995.0
516482,983.0
516483,989.0
516484,1009.0
516485,1034.0
516486,950.0
516487,474.0
516488,166.0
516489,146.0
516490,346.0
516491,634.0
516492,1014.0
516493,1017.0
516494,789.0
516495,450.0
516612,986.0
516613,999.0
516614,1018.0
516615,1009.0
516616,1009.0
516617,1026.0
516618,1030.0
516619,1021.0
516620,1004.0
516621,826.0
532232,990.0
532233,1008.0
532234,1017.0
532235,948.0
532236,546.0
532237,661.0
532355,594.0
532357,1004.0
532358,1019.0
532359,1019.0
532360,1025.0
532361,1009.0
532362,734.0
532363,427.0
532364,151.0
532365,12.0
532366,27.0
532367,276.0
532480,976.0
532481,999.0
532482,978.0
532483,976.0
532484,992.0
532485,656.0
532486,322.0
532487,214.0
532488,114.0
532489,59.0
532490,47.0
532491,57.0
532492,221.0
532493,659.0
532494,924.0
532495,969.0
532496,898.0
532497,921.0
532608,571.0
532609,647.0
532610,885.0
532611,1026.0
532612,1055.0
532613,772.0
532614,234.0
532615,144.0
532616,94.0
532617,76.0
532618,128.0
532619,744.0
532620,1033.0
532621,1026.0
532622,1020.0
532623,1013.0
532624,1021.0
532625,1017.0
532626,965.0
532736,1017.0
532737,1040.0
532738,1053.0
532739,1058.0
532740,1056.0
532741,1049.0
532742,1035.0
532743,986.0
532744,968.0
532745,925.0
532746,874.0
532747,913.0
532748,1010.0
532749,1054.0
532750,1032.0
532751,1026.0
532752,1033.0
532753,1033.0
532754,814.0
532864,1003.0
532865,1018.0
532866,1042.0
532867,1006.0
532868,1006.0
532869,1026.0
532870,495.0
532871,78.0
532872,156.0
532873,148.0
532874,63.0
532875,144.0
532876,800.0
532877,1024.0
532878,1035.0
532879,1036.0
532880,989.0
532881,873.0
532992,968.0
532994,992.0
532995,1011.0
532996,1022.0
532997,1016.0
532998,1029.0
532999,1015.0
533000,1023.0
533001,1025.0
533002,1024.0
533003,1002.0
533004,923.0
533005,606.0
533006,104.0
533007,312.0
533127,534.0
533128,857.0
533129,986.0
533130,1014.0
533131,1013.0
533132,920.0
533133,286.0
548613,266.0
548615,1025.0
548616,1019.0
548617,1026.0
548618,1023.0
548619,1019.0
548620,988.0
548621,813.0
548622,486.0
548623,378.0
548736,1000.0
548737,1017.0
548738,1028.0
548739,999.0
548740,1010.0
548741,1022.0
548742,1013.0
548743,1009.0
548744,976.0
548745,585.0
